height(km) press(hPa) W(M/S) T(C) T-TE(C) QV(g/kg) SAT(g/kg) QC(g/kg) QH(g/kg) QI(g/kg) "Buoy(1e-2 m/s2)" radius(m) dwdt_entr(unitless) plumeT(K) envT(K)
6.8500 368.3470 0.0000 -23.1181 0.0000 0.0975 1.6249 0.0000 0.0000 0.0000 0.0000 1.2684 0.0000 250.1819 250.1819
6.9500 363.2502 0.0000 -23.8215 0.0000 0.0928 1.5470 0.0000 0.0000 0.0000 0.0000 1.2696 0.0000 249.4785 249.4785
7.0500 358.1533 0.0000 -24.5248 0.0000 0.0884 1.4725 0.0000 0.0000 0.0000 0.0000 1.2708 0.0000 248.7751 248.7751
7.1500 353.0565 0.0000 -25.2282 0.0000 0.0841 1.4013 0.0000 0.0000 0.0000 0.0000 1.2720 0.0000 248.0718 248.0718
7.2500 348.1804 0.0000 -25.9084 0.0000 0.0801 1.3353 0.0000 0.0000 0.0000 0.0000 1.2732 0.0000 247.3916 247.3916
7.3500 343.6349 0.0000 -26.5538 0.0000 0.0765 1.2749 0.0000 0.0000 0.0000 0.0000 1.2744 0.0000 246.7462 246.7462
7.4500 339.0895 0.0000 -27.1993 0.0000 0.0730 1.2171 0.0000 0.0000 0.0000 0.0000 1.2756 0.0000 246.1007 246.1007
7.5500 334.5440 0.0000 -27.8447 0.0000 0.0697 1.1616 0.0000 0.0000 0.0000 0.0000 1.2768 0.0000 245.4552 245.4552
7.6500 329.9985 0.0000 -28.4902 0.0000 0.0665 1.1085 0.0000 0.0000 0.0000 0.0000 1.2780 0.0000 244.8098 244.8098
7.7500 325.4531 0.0000 -29.1357 0.0000 0.0635 1.0577 0.0000 0.0000 0.0000 0.0000 1.2792 0.0000 244.1643 244.1643
7.8500 320.9076 0.0000 -29.7811 0.0000 0.0605 1.0089 0.0000 0.0000 0.0000 0.0000 1.2804 0.0000 243.5189 243.5189
7.9500 316.3622 0.0000 -30.4266 0.0000 0.0577 0.9623 0.0000 0.0000 0.0000 0.0000 1.2816 0.0000 242.8734 242.8734
8.0500 311.8167 0.0000 -31.0720 0.0000 0.0551 0.9176 0.0000 0.0000 0.0000 0.0000 1.2828 0.0000 242.2280 242.2280
8.1500 307.2713 0.0000 -31.7175 0.0000 0.0525 0.8749 0.0000 0.0000 0.0000 0.0000 1.2840 0.0000 241.5825 241.5825
8.2500 302.7258 0.0000 -32.3629 0.0000 0.0500 0.8340 0.0000 0.0000 0.0000 0.0000 1.2852 0.0000 240.9371 240.9371
8.3500 298.4114 0.0000 -33.0328 0.0000 0.0483 0.7924 0.0000 0.0000 0.0000 0.0000 1.2864 0.0000 240.2672 240.2672
8.4500 294.4432 0.0000 -33.7391 0.0000 0.0474 0.7491 0.0000 0.0000 0.0000 0.0000 1.2876 0.0000 239.5609 239.5609
8.5500 290.4749 0.0000 -34.4455 0.0000 0.0465 0.7080 0.0000 0.0000 0.0000 0.0000 1.2888 0.0000 238.8545 238.8545
8.6500 286.5067 0.0000 -35.1518 0.0000 0.0455 0.6689 0.0000 0.0000 0.0000 0.0000 1.2900 0.0000 238.1482 238.1482
8.7500 282.5384 0.0000 -35.8582 0.0000 0.0445 0.6318 0.0000 0.0000 0.0000 0.0000 1.2912 0.0000 237.4418 237.4418
8.8500 278.5702 0.0000 -36.5645 0.0000 0.0435 0.5965 0.0000 0.0000 0.0000 0.0000 1.2924 0.0000 236.7355 236.7355
